# Shadow of War Game Database Dump
# List: AI/SmartObjects
# Entry count: 582
# Entry stride: 0x28
# Format: address|name|hex_bytes

00000000668066A0|Picker_Vig_Converse_Speak_Single|1A0A00002D5B4100D092106600000000786C826800000000F8B060660000000008A6E94100000000
00000000668066C8|Picker_Bip_TargetPractice_ArchSpear_Loop|1A0A000084615F007094106600000000E06C826800000000F8B06066000000006CA6E94100000000
00000000668066F0|SO_ChantLoop|1A0A0000ECB9B4001096106600000000506D826800000000F8B0606600000000FCA6E94100000000
0000000066806718|Picker_Bip_InvestigateGround_Single|1A0A0000D55EFE01D092106600000000A86D826800000000F8B06066000000000CA7E94100000000
0000000066806740|Vig_PG_Receiver_Loop_NoEntry|1A0A0000A1BF1A047094106600000000106E826800000000F8B060660000000030A7E94100000000
0000000066806768|SO_CheerOnce|1A0A0000240191041096106600000000806E826800000000F8B060660000000058A7E94100000000
0000000066806790|Bip_Guillotine_ActivateDevice_Single|1A0A0000DC31B0041096106600000000D86E826800000000F8B060660000000068A7E94100000000
00000000668067B8|Picker_Bip_LeanWall_Looping|1A0A000075F60D05B097106600000000306F826800000000F8B060660000000090A7E94100000000
00000000668067E0|AI_BoG_BubbleShieldExit_SO|1A0A0000257D68055099106600000000A86F826800000000F8B0606600000000F0A7E94100000000
0000000066806808|Morale_Scared_Combat|1A0A00004670830510961066000000000870826800000000F8B06066000000000CA8E94100000000
0000000066806830|NoAnim_NoFacing|1A0A0000F78AFF0510961066000000006070826800000000F8B060660000000024A8E94100000000
0000000066806858|Spider_Spawn_Ground|1A0A000063007D061096106600000000B870826800000000F8B060660000000034A8E94100000000
0000000066806880|Picker_Vig_Gamble_Idle_Looping|1A0A0000A8AEA006F09A1066000000001071826800000000F8B060660000000098A8E94100000000
00000000668068A8|Bip_SpCloset_Single|1A0A0000D073020710961066000000009071826800000000F8B0606600000000B8A8E94100000000
00000000668068D0|TrlCave_Sitting_Looping|1A0A0000D1FC0807909C106600000000E871826800000000F8B0606600000000CCA8E94100000000
00000000668068F8|Bip_Scavenge_Kneeling_Looping|1A0A00009E1C5D07D0921066000000005072826800000000F8B060660000000038A9E94100000000
0000000066806920|Olo_AbuseSlave_Ledge_Loop|1A0A0000E2B7AC07D092106600000000B872826800000000F8B060660000000058A9E94100000000
0000000066806948|_Bip_SS_Outpost_OrcAttack|1A0A00008566190810961066000000002073826800000000F8B060660000000074A9E94100000000
0000000066806970|Picker_Vig_Converse_Wait_Looping|1A0A000066996E08D0921066000000007873826800000000F8B060660000000090A9E94100000000
0000000066806998|Bip_AttackFortGate_Single|1A0A0000BB489F081096106600000000E073826800000000F8B0606600000000B4A9E94100000000
00000000668069C0|Cin_Praying_Looping|1A0A00004AC53B09309E1066000000003874826800000000F8B0606600000000D0A9E94100000000
00000000668069E8|DLC4_Graugapult1_Shoot|1A0A000085F34B091096106600000000A874826800000000F8B0606600000000ECA9E94100000000
0000000066806A10|Orc_JumpOffLedge|1A0A00003E47D00910961066000000000075826800000000F8B060660000000004AAE94100000000
0000000066806A38|Bip_Knocking_Looping|1A0A000033304C0A10961066000000005875826800000000F8B060660000000018AAE94100000000
0000000066806A60|Bip_RaiseAlarm_Single|1A0A000094808F0B7094106600000000B075826800000000F8B060660000000074AAE94100000000
0000000066806A88|Picker_Bip_Loop_Low_Torch|1A0A0000FDBECA0B10961066000000002076826800000000F8B0606600000000D0AAE94100000000
0000000066806AB0|Picker_Orc_ScrubTable_Looping|1A0A00003DA4230DB0971066000000007876826800000000F8B0606600000000ECAAE94100000000
0000000066806AD8|GP_Poison_Barrel_Single|1A0A000047B14B0DD092106600000000F076826800000000F8B060660000000014ABE94100000000
0000000066806B00|GP_Blade4_Isildur_Taunt_Short|1A0A00002887BB0D10961066000000005877826800000000F8B06066000000002CABE94100000000
0000000066806B28|GP_Blade4_Isildur_Taunt_Long|1A0A0000B047DF0D1096106600000000B077826800000000F8B06066000000004CABE94100000000
0000000066806B50|Spider_TendEggsack_Looping|1A0A00001B48070E10961066000000000878826800000000F8B06066000000006CABE94100000000
0000000066806B78|Bip_Prisoner_Kneel_Digging_Looping|1A0A00005FC5890E909C1066000000006078826800000000F8B0606600000000D4ABE94100000000
0000000066806BA0|Picker_Bip_Idle_NoFidget_Loop_Low_Hot|1A0A000084C3DE0ED092106600000000C878826800000000F8B06066000000005CACE94100000000
0000000066806BC8|Picker_Bip_Cheer_Loop|1A0A0000DA60E40ED0921066000000003079826800000000F8B060660000000084ACE94100000000
0000000066806BF0|Picker_Bip_DrinkSing_Crowd_Loop|1A0A00005997F10ED09F1066000000009879826800000000F8B06066000000009CACE94100000000
0000000066806C18|Nazgul_Entrance|1A0A00009D12871270A1106600000000087A826800000000F8B0606600000000BCACE94100000000
0000000066806C40|DEBUG_Sliding_Graug|1A0A000035089A121096106600000000687A826800000000F8B0606600000000CCACE94100000000
0000000066806C68|Bip_LeanWall_Looping|1A0A00006DC76913909C106600000000C07A826800000000F8B060660000000018ADE94100000000
0000000066806C90|SO_BeastHunt_FollowerSneak|1A0A0000A8F2C7131096106600000000287B826800000000F8B060660000000030ADE94100000000
0000000066806CB8|DLC4_AI_Torvin_CampIdle_Stand|1A0A00006B5212141096106600000000807B826800000000F8B06066000000004CADE94100000000
0000000066806CE0|Picker_Bip_DrinkGrog_Loop|1A0A000094A99014B097106600000000D87B826800000000F8B06066000000006CADE94100000000
0000000066806D08|DLC3_SeismicStrike|1A0A00002AD4C9141096106600000000507C826800000000F8B060660000000088ADE94100000000
0000000066806D30|Warg_GP_Gollum_01_AttackPlayer|1A0A0000768BEF141096106600000000A87C826800000000F8B06066000000009CADE94100000000
