# Shadow of War Game Database Dump
# List: Combat/AttackPredicates/PredicateCharacterTypeTargetExcluded
# Entry count: 49
# Entry stride: 0x28
# Format: address|name|hex_bytes

0000000066669578|P0021_MonstersAll|010A000011D397026050086600000000B032DC6700000000D074606600000000C46CE04100000000
00000000666695A0|P0005_Goblins_All|010A00009EBEC0097050086600000000B832DC6700000000D074606600000000D86CE04100000000
00000000666695C8|P0018_OlogHaiAll|010A00004DEEA60B6050086600000000D032DC6700000000D074606600000000EC6CE04100000000
00000000666695F0|P0011_FellBeastAny_PlayerCharacter|010A00007CC55D0D8050086600000000D832DC6700000000D074606600000000006DE04100000000
0000000066669618|P0028_OrcClassBerserkerFactionAll_OrcClassDefen|010A00001CDA6A0E8050086600000000E832DC6700000000D074606600000000246DE04100000000
0000000066669640|PC_Bip_Standing_InstaKill_UndeadF_Sever|010A0000456D642B8050086600000000F832DC6700000000D074606600000000546DE04100000000
0000000066669668|P0002_PlayerCharacter_Trolls|010A00007447163780500866000000000833DC6700000000D0746066000000007C6DE04100000000
0000000066669690|P0023_AIAll|010A00003CDA043860500866000000001833DC6700000000D0746066000000009C6DE04100000000
00000000666696B8|PC_Bip_Standing_InstaKill_Lvl2_B|010A0000760B173C80500866000000002033DC6700000000D074606600000000A86DE04100000000
00000000666696E0|P0008_BipedsPlayer|010A00008AA16E3D60500866000000003033DC6700000000D074606600000000CC6DE04100000000
0000000066669708|P0024_AllMonstersOlog|010A000083F7484360500866000000003833DC6700000000D074606600000000E06DE04100000000
0000000066669730|Easterling_Only|010A00006258614C60500866000000004033DC6700000000D074606600000000F86DE04100000000
0000000066669758|P0022_Nazgul_OlogHaiAll|010A0000878F3B4D80500866000000004833DC6700000000D074606600000000086EE04100000000
0000000066669780|P0001_Balrog|010A00000273864D60500866000000005833DC6700000000D074606600000000206EE04100000000
00000000666697A8|AI_Tal_Bip_Standing_InstaKill_Lvl2_B|010A0000C4F6F64D80500866000000006033DC6700000000D074606600000000306EE04100000000
00000000666697D0|P0017_GondorianUndead|010A00001AF4135F60500866000000007033DC6700000000D074606600000000586EE04100000000
00000000666697F8|P0005_GoblinNormal|010A0000FF6DB66660500866000000007833DC6700000000D074606600000000706EE04100000000
0000000066669820|P0019_PlayerCharacter_PlayerCompanion|010A000077B0A17180500866000000008033DC6700000000D074606600000000846EE04100000000
0000000066669848|P0012_FellBeastAny_GoblinsExceptRare_OlogHaiAll|010A000002DAB77390500866000000009033DC6700000000D074606600000000AC6EE04100000000
0000000066669870|P0020_OlogHaiMelee|010A000029D465776050086600000000B833DC6700000000D074606600000000DC6EE04100000000
0000000066669898|PlayerCharacter_Trolls_Fellbeast_Spider_Warg|010A0000C45064789050086600000000C033DC6700000000D074606600000000F06EE04100000000
00000000666698C0|P0026_AllCarnuns|010A0000817C22826050086600000000E833DC6700000000D074606600000000206FE04100000000
00000000666698E8|Gondorian_Only|010A00003D0BF0856050086600000000F033DC6700000000D074606600000000346FE04100000000
0000000066669910|P0015_Trolls|010A0000645D2D8B6050086600000000F833DC6700000000D074606600000000446FE04100000000
0000000066669938|P0016_OlogHaiAll_Trolls|010A00009972198D80500866000000000034DC6700000000D074606600000000546FE04100000000
0000000066669960|AI_Tal_Bip_Standing_InstaKill_UndeadB_Sever|010A0000E359789080500866000000001034DC6700000000D0746066000000006C6FE04100000000
0000000066669988|P0006_AllEnvironment_FellBeastAny|010A0000E80BBC9080500866000000002034DC6700000000D074606600000000986FE04100000000
00000000666699B0|P0007_AllEnvironment|010A0000190909A160500866000000003034DC6700000000D074606600000000BC6FE04100000000
00000000666699D8|P0000_PlayerCharacter|010A0000AA7A76AD60500866000000003834DC6700000000D074606600000000D46FE04100000000
0000000066669A00|P0009_EnvDestroyFortWall|010A00004762DDAF60500866000000004034DC6700000000D074606600000000EC6FE04100000000
0000000066669A28|P0027_AIAll_AllEnvironment|010A000028F892B480500866000000004834DC6700000000D0746066000000000870E04100000000
0000000066669A50|PC_Bip_InstaHOG_Dom_B_SquealerOnly|010A00009BFFA7BC80500866000000005834DC6700000000D0746066000000002470E04100000000
0000000066669A78|P0003_Goblins_Trolls|010A0000A7D903C280500866000000006834DC6700000000D0746066000000004870E04100000000
0000000066669AA0|PC_Bip_InstaHOG_Dom_F_SquealerOnly|010A000077CC8AC380500866000000007834DC6700000000D0746066000000006070E04100000000
0000000066669AC8|P0025_TrollsBalrogCarnunFriendly|010A000010A36FC460500866000000008834DC6700000000D0746066000000008470E04100000000
0000000066669AF0|PC_Bip_Standing_InstaKill_B|010A00005BA57AC580500866000000009034DC6700000000D074606600000000A870E04100000000
0000000066669B18|PC_Bip_Standing_InstaKill_F|010A00005FA57AC58050086600000000A034DC6700000000D074606600000000C470E04100000000
0000000066669B40|PC_Bip_Standing_InstaKill_UndeadB_Sever|010A000081FCA4CA8050086600000000B034DC6700000000D074606600000000E070E04100000000
0000000066669B68|P0010_Wargs|010A0000952055CC6050086600000000C034DC6700000000D0746066000000000871E04100000000
0000000066669B90|PC_Bip_InstaHOG_Dom_B|010A00008D4047E48050086600000000C834DC6700000000D0746066000000001471E04100000000
0000000066669BB8|PC_Bip_InstaHOG_Dom_F|010A0000914047E48050086600000000D834DC6700000000D0746066000000002C71E04100000000
0000000066669BE0|AI_Tal_Bip_Standing_InstaKill_B|010A0000FD639BE68050086600000000E834DC6700000000D0746066000000004471E04100000000
0000000066669C08|AI_Tal_Bip_Standing_InstaKill_F|010A000001649BE68050086600000000F834DC6700000000D0746066000000006471E04100000000
0000000066669C30|P0004_Nazgul|010A0000819894E760500866000000000835DC6700000000D0746066000000008471E04100000000
0000000066669C58|P0013_FellBeastAny_GoblinsExceptRare_Trolls_War|010A000079603BEBA0500866000000001035DC6700000000D0746066000000009471E04100000000
0000000066669C80|AI_Tal_Bip_Standing_InstaKill_UndeadF_Sever|010A0000A7CA37F180500866000000003035DC6700000000D074606600000000C471E04100000000
0000000066669CA8|PC_Bip_Standing_InstaKill_F_Sever|010A0000EA2DD3F280500866000000004035DC6700000000D074606600000000F071E04100000000
0000000066669CD0|P0014_Bipeds|010A0000CEF20BF760500866000000005035DC6700000000D0746066000000001472E04100000000
0000000066669CF8|P0029_OrcInfantryArch|010A00008C5807F960500866000000005835DC6700000000D0746066000000002472E04100000000
