# Shadow of War Game Database Dump
# List: Combat/AttackPredicates/PredicateDistanceToTarget
# Entry count: 366
# Entry stride: 0x28
# Format: address|name|hex_bytes

00000000668353C0|30|010A0000CD6B0000A08E106600000000A0C086680000000058C86066000000000C3CEB4100000000
00000000668353E8|40|010A0000646F0000A08E106600000000A8C086680000000058C8606600000000103CEB4100000000
0000000066835410|75|010A00002E7A0000A08E106600000000B0C086680000000058C8606600000000143CEB4100000000
0000000066835438|85|010A0000C57D0000A08E106600000000B8C086680000000058C8606600000000183CEB4100000000
0000000066835460|BIP_Assassin_Move_LeftOrRight|010A000099B70E00A08E106600000000C0C086680000000058C86066000000001C3CEB4100000000
0000000066835488|PC_WargRiding_GTD|010A0000C83E6B00A08E106600000000C8C086680000000058C86066000000003C3CEB4100000000
00000000668354B0|150|010A0000D7486901A08E106600000000D0C086680000000058C8606600000000503CEB4100000000
00000000668354D8|305|010A00000BFD8201A08E106600000000D8C086680000000058C8606600000000543CEB4100000000
0000000066835500|AI_SauronFair_ExpandingAOE|010A0000117EC002A08E106600000000E0C086680000000058C8606600000000583CEB4100000000
0000000066835528|AI_TrlCave_CantPath_StepBack|010A0000FFC83003A08E106600000000E8C086680000000058C8606600000000743CEB4100000000
0000000066835550|AI_Caragor_MultiAttack|010A000062B48003A08E106600000000F0C086680000000058C8606600000000A056EA4100000000
0000000066835578|AI_Warg_Ridden_Maul|010A0000A0DBDE03A08E106600000000F8C086680000000058C8606600000000447CE74100000000
00000000668355A0|AI_Berserker_QT_Front_Close|010A00001DE10B04A08E10660000000000C186680000000058C8606600000000943CEB4100000000
00000000668355C8|AI_Warg_ChargeAttack|010A0000A5A17405A08E10660000000008C186680000000058C8606600000000B03CEB4100000000
00000000668355F0|PC_WD_SSK_GTD|010A0000BED1E805A08E10660000000010C186680000000058C8606600000000C83CEB4100000000
0000000066835618|AI_UndeadGond_Melee|010A000007460906A08E10660000000018C186680000000058C8606600000000D83CEB4100000000
0000000066835640|AI_Infantry_Ranged_Throw|010A00005AC53F07A08E10660000000020C186680000000058C8606600000000EC3CEB4100000000
0000000066835668|BIP_GroundAtk|010A0000348F9208A08E10660000000028C186680000000058C8606600000000083DEB4100000000
0000000066835690|AI_Warg_Troll_Infight_WargWin_B|010A00003043D808A08E10660000000030C186680000000058C8606600000000183DEB4100000000
00000000668356B8|AI_Warg_Troll_Infight_WargWin_F|010A00003443D808A08E10660000000038C186680000000058C8606600000000383DEB4100000000
00000000668356E0|AI_Warg_Troll_Infight_WargWin_L|010A00003A43D808A08E10660000000040C186680000000058C8606600000000583DEB4100000000
0000000066835708|AI_Warg_Troll_Infight_WargWin_R|010A00004043D808A08E10660000000048C186680000000058C8606600000000783DEB4100000000
0000000066835730|AI_Biped_Rider_ChargeLanceAttack_VS_AI|010A000062466A09A08E10660000000050C186680000000058C8606600000000983DEB4100000000
0000000066835758|AI_Defender_PreDeath_Ranged|010A0000B781260CA08E10660000000058C186680000000058C8606600000000C03DEB4100000000
0000000066835780|AI_Biped_RunsFast_Attack|010A0000FE34490DA08E10660000000060C186680000000058C8606600000000DC3DEB4100000000
00000000668357A8|AI_Defender_Spear_Attacks|010A00009186D40DA08E10660000000068C186680000000058C8606600000000F83DEB4100000000
00000000668357D0|AI_Defender_Spear_Attacks_Directional|010A0000E53BF80EA08E10660000000070C186680000000058C8606600000000143EEB4100000000
00000000668357F8|AI_BH_BodySlam_Attempt|010A000000FEFA0FA08E10660000000078C186680000000058C86066000000003C58EA4100000000
0000000066835820|BIP_Archer_FortWall_Shoot_Base|010A0000B3E1FB0FA08E10660000000080C186680000000058C86066000000003C3EEB4100000000
0000000066835848|AI_Bip_AttackCart_NoPath|010A0000019F1D10A08E10660000000088C186680000000058C86066000000005C3EEB4100000000
0000000066835870|AI_Isildur_Enraged_BubbleAvoid|010A000041E76211A08E10660000000090C186680000000058C86066000000009C8BE74100000000
0000000066835898|PC_GetYouThere_ALL|010A00004B9FBC14A08E10660000000098C186680000000058C8606600000000783EEB4100000000
00000000668358C0|PC_GetYouThere_Any|010A000086A6BC14A08E106600000000A0C186680000000058C86066000000008C3EEB4100000000
00000000668358E8|AI_Goblin_WraithAOE_Close|010A000021F83215A08E106600000000A8C186680000000058C8606600000000A03EEB4100000000
0000000066835910|AI_BIP_Dismount_WargRider|010A0000D3F71016A08E106600000000B0C186680000000058C8606600000000BC3EEB4100000000
0000000066835938|700_1200|010A000005D92A16A08E106600000000B8C186680000000058C8606600000000D83EEB4100000000
0000000066835960|AI_Olog_Harpoon_Atk|010A00007EB3341BA08E106600000000C0C186680000000058C8606600000000E43EEB4100000000
0000000066835988|AI_BoG_SetWeaponSlot_Melee|010A000030B8E81BA08E106600000000C8C186680000000058C8606600000000F83EEB4100000000
00000000668359B0|AI_Infantry_Melee_Heavy_Atk|010A00005430DE1CA08E106600000000D0C186680000000058C8606600000000143FEB4100000000
00000000668359D8|AI_WargBrown_JumpAttack_VS_M_Graug|010A000049A0F71CA08E106600000000D8C186680000000058C8606600000000303FEB4100000000
0000000066835A00|DP_0_250|010A0000C3A7011DA08E106600000000E0C186680000000058C8606600000000543FEB4100000000
0000000066835A28|DP_0_300|010A0000E1780E1DA08E106600000000E8C186680000000058C8606600000000603FEB4100000000
0000000066835A50|AI_Warg_LightAttack|010A00002D8D601EA08E106600000000F0C186680000000058C86066000000006C3FEB4100000000
0000000066835A78|PC_PoolAttacks_Distance_2_And_3|010A00004FA47A1EA08E106600000000F8C186680000000058C8606600000000803FEB4100000000
0000000066835AA0|PC_Instakill_Close|010A000088AD071FA08E10660000000000C286680000000058C8606600000000A03FEB4100000000
0000000066835AC8|AI_Warg_HowlBrandSelf|010A00006E725D20A08E10660000000008C286680000000058C8606600000000B43FEB4100000000
0000000066835AF0|BIP_MultiAttack|010A0000F4011021A08E10660000000010C286680000000058C8606600000000CC3FEB4100000000
0000000066835B18|PC_StealthGrab_200plus|010A000045CD1B21A08E10660000000018C286680000000058C8606600000000DC3FEB4100000000
