# Shadow of War Game Database Dump
# List: Combat/AttackPredicates/PredicateInventoryItemAttackerExcluded
# Entry count: 160
# Entry stride: 0x28
# Format: address|name|hex_bytes

0000000066827050|Ambient_DoNotEquipRanged|010A000025A8000020E1106600000000D0BD856800000000A0C660660000000048D9DF4100000000
0000000066827078|Balrog_MissionID_Carnan_2|010A00009E04210020E1106600000000D8BD856800000000A0C66066000000008CD9DF4100000000
00000000668270A0|AI_ArPharazon_Phase2_50PctHealth|010A000094EBA50020E1106600000000E0BD856800000000A0C6606600000000C0D9DF4100000000
00000000668270C8|Biped_MortVulnerable_Monsters|010A0000F573280620E1106600000000E8BD856800000000A0C6606600000000ACDCDF4100000000
00000000668270F0|AI_Carnan_Side_C2|010A0000A8933B0B20E1106600000000F0BD856800000000A0C660660000000064DEDF4100000000
0000000066827118|AI_Nazgul_DuringPullAttack|010A00005762920D20E1106600000000F8BD856800000000A0C660660000000000DFDF4100000000
0000000066827140|I_AM_Dismounting|010A000012916C0F20E110660000000000BE856800000000A0C6606600000000F4DFDF4100000000
0000000066827168|CP_Brand|010A000086A29F0F20E110660000000008BE856800000000A0C660660000000008E0DF4100000000
0000000066827190|AI_Balrog_WeakSpot_2_Complete|010A0000EB79A01120E110660000000010BE856800000000A0C6606600000000DCE0DF4100000000
00000000668271B8|Prop_Torch|010A00004116671620E110660000000018BE856800000000A0C660660000000004E3DF4100000000
00000000668271E0|Immune_Light|010A00002B51BD1820E110660000000020BE856800000000A0C6606600000000B0F3EA4100000000
0000000066827208|CSP_Quick_Throw_2|010A00002E8D381920E110660000000028BE856800000000A0C6606600000000F8E3DF4100000000
0000000066827230|Balrog_TackleCarnun_10Pct|010A0000AEB9A41A20E110660000000030BE856800000000A0C6606600000000B8E4DF4100000000
0000000066827258|GP_Gond1_All_Graugapults|010A0000CB47C41A20E110660000000038BE856800000000A0C6606600000000F4E4DF4100000000
0000000066827280|Archer_FortFarsightUpgrade|010A000040BFBF1B20E110660000000040BE856800000000A0C6606600000000C8E5DF4100000000
00000000668272A8|Olog_All|010A0000F049C61B20E110660000000048BE856800000000A0C6606600000000E4E5DF4100000000
00000000668272D0|Script_Player_DisableActivateBrand|010A000096CA1A1D20E110660000000050BE856800000000A0C660660000000048E6DF4100000000
00000000668272F8|Trait_InspiringBanner|010A00008BF56A1D20E110660000000058BE856800000000A0C660660000000004E7DF4100000000
0000000066827320|Presented_Showdown_NoRanged|010A00007B361A1E20E110660000000060BE856800000000A0C66066000000005CE7DF4100000000
0000000066827348|Goblin_Rare|010A0000F90F3D2020E110660000000068BE856800000000A0C660660000000064E8DF4100000000
0000000066827370|AI_ArPharazon_Phase2_35PctHealth|010A0000A5DD7C2220E110660000000070BE856800000000A0C660660000000054E9DF4100000000
0000000066827398|PC_InQuestStartPoint|010A0000D00BB72720E110660000000078BE856800000000A0C6606600000000D8ECDF4100000000
00000000668273C0|Balrog_TackleCarnun_35Pct|010A000013B2F22720E110660000000080BE856800000000A0C6606600000000F0ECDF4100000000
00000000668273E8|PC_GameChanger_2|010A00009C73FA2720E110660000000088BE856800000000A0C66066000000000CEDDF4100000000
0000000066827410|I_Am_An_OlogHai|010A00008F93502820E110660000000090BE856800000000A0C660660000000078EDDF4100000000
0000000066827438|Prop_All_Utility|010A00003C92ED2820E110660000000098BE856800000000A0C660660000000004EEDF4100000000
0000000066827460|Prop_Shovel|010A00006EC34C2B20E1106600000000A0BE856800000000A0C660660000000020EFDF4100000000
0000000066827488|Tribe_Industrial|010A0000F9708C2B20E1106600000000A8BE856800000000A0C66066000000003CEFDF4100000000
00000000668274B0|InDetermination_East|010A0000558DE72C20E1106600000000B0BE856800000000A0C6606600000000C0F3EA4100000000
00000000668274D8|Fear_Terrified_Weakened|010A00000A52F82F20E1106600000000B8BE856800000000A0C66066000000006CF0DF4100000000
0000000066827500|Prop_FurnacePoker|010A00004452D43420E1106600000000C0BE856800000000A0C660660000000090F2DF4100000000
0000000066827528|Fleeing_Any|010A00005A896D3520E1106600000000C8BE856800000000A0C6606600000000E8F2DF4100000000
0000000066827550|CSP_Shoulder_Bash|010A0000ACF2D33C20E1106600000000D0BE856800000000A0C66066000000006CF6DF4100000000
0000000066827578|I_AM_Dismounting_Or_Imm_Ranged|010A00007B60634220E1106600000000D8BE856800000000A0C66066000000005CF9DF4100000000
00000000668275A0|AI_Balrog_WeakSpot_3_Complete|010A00004201014520E1106600000000E0BE856800000000A0C660660000000098FADF4100000000
00000000668275C8|Prop_Dagger|010A00005D53164620E1106600000000E8BE856800000000A0C66066000000001CFBDF4100000000
00000000668275F0|AI_Infighting_DisableInstakills|010A000069253A4620E1106600000000F0BE856800000000A0C660660000000028FBDF4100000000
0000000066827618|AI_WitchKing_Phase1_Summon|010A0000A01AD54A20E1106600000000F8BE856800000000A0C660660000000064FDDF4100000000
0000000066827640|Prop_Broom|010A0000EA3D194B20E110660000000000BF856800000000A0C6606600000000A0FDDF4100000000
0000000066827668|AI_Infantry_Upgrade_HeavyAttack|010A0000021B894B20E110660000000008BF856800000000A0C6606600000000F8FDDF4100000000
0000000066827690|AI_Sauron_Phase2_35PctHealth|010A0000959BD34C20E110660000000010BF856800000000A0C660660000000084FEDF4100000000
00000000668276B8|CP_Infight|010A0000E2A34A4E20E110660000000018BF856800000000A0C660660000000064FFDF4100000000
00000000668276E0|AI_RescueBetrayal_Active|010A0000CF86804E20E110660000000020BF856800000000A0C6606600000000D8F3EA4100000000
0000000066827708|Adapat_FlurryEnder|010A000015EC3D5220E110660000000028BF856800000000A0C66066000000009401E04100000000
0000000066827730|Trait_OrcSapperPack|010A00001C0B975420E110660000000030BF856800000000A0C6606600000000D802E04100000000
0000000066827758|CSP_WraithExplode_Remote|010A0000B015095520E110660000000038BF856800000000A0C66066000000003803E04100000000
0000000066827780|SmokeBombTeleport|010A0000844ED05520E110660000000040BF856800000000A0C6606600000000B403E04100000000
00000000668277A8|AI_Balrog_Phase_2_PlayerDmgComplete|010A00007FA9335620E110660000000048BF856800000000A0C66066000000000004E04100000000
00000000668277D0|Goblin_Summoned_CrawlFromGround|010A0000A9FD8D5620E110660000000050BF856800000000A0C66066000000002404E04100000000
00000000668277F8|AI_Nazgul_ArPharazon_InitialAOE_Activated|010A0000D1304B5720E110660000000058BF856800000000A0C66066000000009C04E04100000000
0000000066827820|Exclude_Slayer_Sync|010A00007758B15A20E110660000000060BF856800000000A0C66066000000004406E04100000000
0000000066827848|Troll_NeedsRecoverWhenEnrageOver|010A0000508B125B20E110660000000068BF856800000000A0C66066000000005806E04100000000
0000000066827870|AI_Balrog_Phase_2_CarnanDmgComplete|010A00004960F75B20E110660000000070BF856800000000A0C6606600000000E806E04100000000
0000000066827898|CSP_Death_From_Above|010A0000418C615D20E110660000000078BF856800000000A0C66066000000005407E04100000000
00000000668278C0|CSP_Terrorize|010A0000AA8C8A5D20E110660000000080BF856800000000A0C66066000000007807E04100000000
00000000668278E8|Script_DoNotReactToSurprised|010A00000E56BC5D20E110660000000088BF856800000000A0C66066000000008807E04100000000
0000000066827910|SauronFair_DisableMeleeDodgeTeleport|010A00002E26495F20E110660000000090BF856800000000A0C66066000000005808E04100000000
0000000066827938|Balrog_TackleCarnun_65Pct|010A00007627F06020E110660000000098BF856800000000A0C66066000000006C09E04100000000
0000000066827960|AI_Necromancer_SelfRes_Activated|010A00001AF7576120E1106600000000A0BF856800000000A0C6606600000000F4F3EA4100000000
0000000066827988|DoNotSwap_ToMelee|010A0000E6E7A56120E1106600000000A8BF856800000000A0C6606600000000CC09E04100000000
00000000668279B0|PLBoG_Skill_HealSelf_Aug_HealAoE|010A0000E787FD6220E1106600000000B0BF856800000000A0C6606600000000380AE04100000000
00000000668279D8|Biped_Immune_CombatFinishers|010A0000820A0C6420E1106600000000B8BF856800000000A0C6606600000000B80AE04100000000
0000000066827A00|Biped_GetsUpQuickly|010A0000740E8F6720E1106600000000C0BF856800000000A0C6606600000000140CE04100000000
0000000066827A28|Script_IgnoreWeaponCheck|010A0000EF5E7C6920E1106600000000C8BF856800000000A0C6606600000000DC0CE04100000000
0000000066827A50|Script_Player_DisableSummonFollower|010A0000B504B46B20E1106600000000D0BF856800000000A0C6606600000000CC0DE04100000000
0000000066827A78|Prop_Hoe|010A00005B87076C20E1106600000000D8BF856800000000A0C6606600000000F00DE04100000000
0000000066827AA0|AI_Trait_CaragorTamer_Coolodwn|010A0000F5E3496E20E1106600000000E0BF856800000000A0C660660000000018F4EA4100000000
0000000066827AC8|Script_Player_DisableSummonBeast_Warg|010A0000CD36E16E20E1106600000000E8BF856800000000A0C66066000000002810E04100000000
