# Shadow of War Game Database Dump
# List: Faction/Rewards/Lists
# Entry count: 226
# Entry stride: 0x28
# Format: address|name|hex_bytes

0000000066686120|Savage_HeavyAttack|020A000088B74900407B0866000000002053E16700000000A87A606600000000206FE14100000000
0000000066686148|DLC4_OverlordArmSever_GrantClawArm|020A0000574DCE00407B0866000000003053E16700000000A87A606600000000346FE14100000000
0000000066686170|Default_GrowInPower_11to20|020A000027C56B01607B0866000000004053E16700000000A87A606600000000586FE14100000000
0000000066686198|ResurrectionGhul|020A0000D7447A01807B0866000000009054E16700000000A87A606600000000746FE14100000000
00000000666861C0|Contract_LegendaryTraining_EpicOrc|020A000076389001A07B086600000000C054E16700000000A87A606600000000886FE14100000000
00000000666861E8|Contract_RemoveAnEpicTrait|020A00008CC8C401C07B086600000000D055E16700000000A87A606600000000AC6FE14100000000
0000000066686210|Contract_GreatStrength|020A00006A104A03407B086600000000A856E16700000000A87A606600000000C86FE14100000000
0000000066686238|Specialization_CombatMaster|020A0000F959EF05407B086600000000B856E16700000000A87A606600000000E06FE14100000000
0000000066686260|Default_OrcRarity_Act1|020A000012ADAE07E07B086600000000C856E16700000000A87A606600000000FC6FE14100000000
0000000066686288|ProgresionList_Defensive|020A000035F05C09007C0866000000000857E16700000000A87A6066000000001470E14100000000
00000000666862B0|MaybeNewRole_CheatDeath_PlayerSlash|020A0000D79D200BE07B0866000000000858E16700000000A87A6066000000003070E14100000000
00000000666862D8|DLC4_Default_WeaknessUpgrades_Legend|020A00004EAAFF0C207C0866000000004858E16700000000A87A6066000000005470E14100000000
0000000066686300|Default_SeismicStrike|020A0000707F5F0D407C0866000000009858E16700000000A87A6066000000007C70E14100000000
0000000066686328|RewardOth_SubSucOthFled|020A0000E533F60D607C086600000000B058E16700000000A87A6066000000009470E14100000000
0000000066686350|DLC4_Default_Immunities|020A0000E965880F807C086600000000D058E16700000000A87A606600000000AC70E14100000000
