# Shadow of War Game Database Dump
# List: Inventory/Skill/PreReqs
# Entry count: 107
# Entry stride: 0x28
# Format: address|name|hex_bytes

0000000066805508|SPR_PowerMeter|050A0000A51FA406D091106600000000785E82680000000098AF606600000000C89BE94100000000
0000000066805530|DLC4_SPR_Capacity_HealthPacks|050A0000FDBDD507D091106600000000985E82680000000098AF606600000000D89BE94100000000
0000000066805558|SPR_Wraith_Punch_2|050A00008F756108D091106600000000B85E82680000000098AF606600000000F89BE94100000000
0000000066805580|SPR_Wraith_Fear_2|050A0000F55EA50AD091106600000000D85E82680000000098AF6066000000000C9CE94100000000
00000000668055A8|SPR_Wraith_Infight_2|050A0000A444A00CD091106600000000F85E82680000000098AF606600000000209CE94100000000
00000000668055D0|SPR_Raise|050A00008BF22814D091106600000000185F82680000000098AF606600000000389CE94100000000
00000000668055F8|SPR_Multi_Counter|050A000086BE1815D091106600000000385F82680000000098AF606600000000449CE94100000000
0000000066805620|SPR_DeathFromAbove|050A0000B8E78715D091106600000000585F82680000000098AF606600000000589CE94100000000
0000000066805648|SPR_Troll_Rider|050A000014242916D091106600000000785F82680000000098AF6066000000006C9CE94100000000
0000000066805670|SPR_RhythmMovement_Jump|050A000026896F17D091106600000000985F82680000000098AF6066000000007C9CE94100000000
0000000066805698|SPR_RaisePets|050A00008F482219D091106600000000B85F82680000000098AF606600000000949CE94100000000
00000000668056C0|SPR_Drain|050A0000CFD4421CD091106600000000D85F82680000000098AF606600000000A49CE94100000000
00000000668056E8|DLC4_SPR_Shield|050A00002CD6791CD091106600000000F85F82680000000098AF606600000000B09CE94100000000
0000000066805710|DLC4_SPR_Crossbow_CapacityUpgrades|050A0000525B481DD091106600000000186082680000000098AF606600000000C09CE94100000000
0000000066805738|SPR_CollectRange|050A0000BC9AE21ED091106600000000386082680000000098AF606600000000009DE94100000000
0000000066805760|DLC4_SPR_SerkaFortAssault|050A0000A7E8BC25D091106600000000586082680000000098AF606600000000149DE94100000000
0000000066805788|SPR_Quick_Throw_2|050A00002B87FD28D091106600000000786082680000000098AF606600000000309DE94100000000
00000000668057B0|SkillPoint|050A0000A7717E29D091106600000000986082680000000098AF6066000000003090E14100000000
00000000668057D8|SPR_ProtectingGhost|050A00005B86C82BD091106600000000B86082680000000098AF606600000000449DE94100000000
0000000066805800|SPR_WraithFlurry|050A000052C3332FD091106600000000D86082680000000098AF606600000000589DE94100000000
0000000066805828|SPR_Token_Sticky|050A00005F334E33D091106600000000F86082680000000098AF6066000000006C9DE94100000000
0000000066805850|SkillPoint10|050A0000B6050134D091106600000000186182680000000098AF606600000000809DE94100000000
0000000066805878|SPR_CombatBrand|050A0000EACE8935D091106600000000386182680000000098AF606600000000909DE94100000000
00000000668058A0|SPR_Detonate|050A0000A9141637D091106600000000586182680000000098AF606600000000A09DE94100000000
00000000668058C8|SPR_ShadowStrike|050A000053D65237D091106600000000786182680000000098AF606600000000B09DE94100000000
00000000668058F0|SPR_ShadowMount|050A00002834E338D091106600000000986182680000000098AF606600000000C49DE94100000000
0000000066805918|SPR_CriticalStrike|050A00001AF93939D091106600000000B86182680000000098AF606600000000D49DE94100000000
0000000066805940|SPR_Wraith_Immolate_2|050A000099C99044D091106600000000D86182680000000098AF606600000000E89DE94100000000
0000000066805968|DLC3_SPR_LightAoE|050A0000ED5DE049D091106600000000F86182680000000098AF606600000000009EE94100000000
0000000066805990|DLC3_SPR_LightMightyShot|050A00003EE8114ED091106600000000186282680000000098AF606600000000149EE94100000000
