# Shadow of War Game Database Dump
# List: Quest/Quests
# Entry count: 2256
# Entry stride: 0x28
# Format: address|name|hex_bytes

0000000066690368|SM_Lumberjacks_01_Revenge|900A0000167B310080930866000000009815E26700000000008660660000000024C9E14100000000
0000000066690390|SM_SC_Vendetta_RaiseArmy|900A0000D6F54400809C0866000000005018E267000000000086606600000000ACC9E14100000000
00000000666903B8|SM_Guard_Caragors_01_Revenge|900A0000F81E450080A5086600000000281BE267000000000086606600000000ECC9E14100000000
00000000666903E0|IS_Lumberjacks_00_Revenge|900A0000B559680080A5086600000000E81DE26700000000008660660000000030CAE14100000000
0000000066690408|SM_SC_P_RangedKills|900A0000E6F8740080AE086600000000A820E2670000000000866066000000004CCAE14100000000
0000000066690430|VO_SC_OP1_Vendetta_KillOlogs|900A0000F769790080B70866000000008023E267000000000086606600000000A8CAE14100000000
0000000066690458|DE_Lumberjacks_00_Revenge|900A00004EC89D0080A50866000000006026E267000000000086606600000000E4CAE14100000000
0000000066690480|VO_FeastSingle_01_Vendetta|900A00004E9AEB0080C00866000000002029E26700000000008660660000000000CBE14100000000
00000000666904A8|MI_OP5_DT_F_KillArchers|900A0000958FFA0080C9086600000000102CE26700000000008660660000000060CBE14100000000
00000000666904D0|StatueOfThePast_Desert_03_Replay|900A0000E70A000180D2086600000000D82EE267000000000086606600000000A8CBE14100000000
00000000666904F8|MP_FeastSingle_01_Vendetta|900A0000802B000180C9086600000000B831E26700000000008660660000000090CCE14100000000
0000000066690520|IS_SC_Vendetta_ReleaseCaragors|900A000082D64501809C0866000000008034E267000000000086606600000000ACCCE14100000000
0000000066690548|VO_SC_OP2_KillDefenders|900A0000A7CF480180DB0866000000005837E267000000000086606600000000ECCCE14100000000
0000000066690570|MI_Guard_Supplies_00_Vendetta|900A0000C143870180C9086600000000403AE26700000000008660660000000050CDE14100000000
0000000066690598|PS_Gauntlet2|900A0000B83EC30180E4086600000000083DE267000000000086606600000000A4CDE14100000000
00000000666905C0|PS_Gauntlet3|900A0000B93EC30180E4086600000000C83FE267000000000086606600000000F4CDE14100000000
00000000666905E8|SM_SC_AC_RapidStealth|900A0000B195C50180DB0866000000008842E2670000000000866066000000002CCEE14100000000
0000000066690610|IS_Chase1_00|900A0000E489070280ED0866000000007045E26700000000008660660000000088CEE14100000000
0000000066690638|IS_Chase1_01|900A0000E589070280ED0866000000003048E267000000000086606600000000BCCEE14100000000
0000000066690660|IS_Chase1_02|900A0000E689070280ED086600000000F04AE267000000000086606600000000CCCEE14100000000
0000000066690688|VO_SC_Vendetta_RangedKills|900A00005ADB3C02809C086600000000B04DE267000000000086606600000000DCCEE14100000000
00000000666906B0|VO_DT_F_KillArchers|900A0000F9F7440280C90866000000008850E267000000000086606600000000F8CEE14100000000
00000000666906D8|MI_CampRaidG_00|900A000014B1460280930866000000005053E2670000000000866066000000000CCFE14100000000
0000000066690700|MI_CampRaidG_01|900A000015B1460280930866000000000856E26700000000008660660000000050CFE14100000000
0000000066690728|MI_CampRaidG_02|900A000016B146028093086600000000C058E26700000000008660660000000060CFE14100000000
0000000066690750|MP_SC_Vendetta_RangedKills|900A00008C6C5102809C086600000000785BE26700000000008660660000000070CFE14100000000
