# Shadow of War Game Database Dump
# List: Quest/Replay
# Entry count: 51
# Entry stride: 0x28
# Format: address|name|hex_bytes

000000006668D6D0|IntroPart10|090A0000CEA9E610E086086600000000B0DDE16700000000D880606600000000C4B0E14100000000
000000006668D6F8|IntroPart30|090A0000FCB0E610E08608660000000018DFE16700000000D880606600000000D0B0E14100000000
000000006668D720|Carnan1|090A00002DBE2E18708708660000000080E0E16700000000D880606600000000DCB0E14100000000
000000006668D748|Carnan2|090A00002EBE2E18008808660000000058E1E16700000000D880606600000000E4B0E14100000000
000000006668D770|Carnan3|090A00002FBE2E18008808660000000000E2E16700000000D880606600000000ECB0E14100000000
000000006668D798|Gondor1|090A0000F33F731A9088086600000000A8E2E16700000000D880606600000000F4B0E14100000000
000000006668D7C0|Gondor2|090A0000F43F731A2089086600000000E0E3E16700000000D880606600000000FCB0E14100000000
000000006668D7E8|Gondor3|090A0000F53F731A2089086600000000D0E4E16700000000D88060660000000004B1E14100000000
000000006668D810|Gondor4|090A0000F63F731A0088086600000000C0E5E16700000000D8806066000000000CB1E14100000000
000000006668D838|Gondor5|090A0000F73F731A008808660000000068E6E16700000000D88060660000000014B1E14100000000
000000006668D860|DLC3_RecruitmentA|090A0000B00DFA35B08908660000000010E7E16700000000D8806066000000001CB1E14100000000
000000006668D888|DLC3_RecruitmentB|090A0000B10DFA35B08908660000000030E7E16700000000D88060660000000030B1E14100000000
000000006668D8B0|DLC3_RecruitmentC|090A0000B20DFA35B08908660000000050E7E16700000000D88060660000000044B1E14100000000
000000006668D8D8|DLC3_RecruitmentD|090A0000B30DFA35B08908660000000070E7E16700000000D88060660000000058B1E14100000000
000000006668D900|DLC3_RecruitmentE|090A0000B40DFA35B08908660000000090E7E16700000000D8806066000000006CB1E14100000000
000000006668D928|Ratbag0|090A0000D841D53D408A086600000000B0E7E16700000000D88060660000000080B1E14100000000
000000006668D950|Ratbag2|090A0000DA41D53D008808660000000090E8E16700000000D88060660000000088B1E14100000000
000000006668D978|Ratbag3|090A0000DB41D53D008808660000000038E9E16700000000D88060660000000090B1E14100000000
000000006668D9A0|DLC3_FortMtnPass|090A000072FEED51B089086600000000E0E9E16700000000D88060660000000098B1E14100000000
