# Shadow of War Game Database Dump
# List: Server/NPCBundle
# Entry count: 146
# Entry stride: 0x28
# Format: address|name|hex_bytes

00000000668198D0|ArPharazon|010A0000528F5200B0CD106600000000D0AB846800000000B0BD606600000000B078EA4100000000
00000000668198F8|Zog|010A00009A454F01C0CD106600000000E0AB846800000000B0BD6066000000001C79EA4100000000
0000000066819920|Nemesis_Eltariel|010A000012F38702D0CD106600000000E8AB846800000000B0BD6066000000005079EA4100000000
0000000066819948|Gondor|010A0000C12D8902C0CD10660000000010AC846800000000B0BD60660000000060E2E64100000000
0000000066819970|Playerskin_DarkBaranor|010A00005DE13C03B0CD10660000000018AC846800000000B0BD606600000000747AEA4100000000
0000000066819998|Shelob3_Orc_DefenderWarchief|010A0000BDE46303C0CD10660000000028AC846800000000B0BD606600000000187BEA4100000000
00000000668199C0|PS_Invasion|010A000058977004E0CD10660000000030AC846800000000B0BD60660000000088D4E14100000000
00000000668199E8|Playerskin_Celebrimbor_ShadowWar|010A0000E0FADC04B0CD10660000000048AC846800000000B0BD606600000000347CEA4100000000
0000000066819A10|Easterlings_Base|010A00005C7E7505C0CD10660000000058AC846800000000B0BD606600000000A47CEA4100000000
0000000066819A38|Werewyrm_Baranor|010A000083AB3D07B0CD10660000000060AC846800000000B0BD606600000000F47CEA4100000000
0000000066819A60|Playerskin_DarkSerka|010A000078357B0AB0CD10660000000070AC846800000000B0BD606600000000707DEA4100000000
0000000066819A88|Gondorian_Soldiers|010A00003A16870AC0CD10660000000080AC846800000000B0BD606600000000CC7DEA4100000000
0000000066819AB0|Werewyrm|010A0000AE5C1B0CB0CD10660000000088AC846800000000B0BD6066000000001C7EEA4100000000
0000000066819AD8|Carnun1|010A0000817B3019C0CD10660000000098AC846800000000B0BD606600000000BCEFE14100000000
0000000066819B00|Intro_Final|010A00000CCC501AC0CD106600000000A0AC846800000000B0BD606600000000807EEA4100000000
0000000066819B28|Gondor1|010A0000F33F731AC0CD106600000000A8AC846800000000B0BD606600000000F4B0E14100000000
0000000066819B50|DEMO_AlwaysLoad|010A0000C89CC71AC0CD106600000000B0AC846800000000B0BD606600000000D07EEA4100000000
0000000066819B78|Fellbeast|010A0000A8BC7E1CB0CD106600000000B8AC846800000000B0BD606600000000007FEA4100000000
0000000066819BA0|Nazgul_base|010A000088530C1EC0CD106600000000C8AC846800000000B0BD606600000000787FEA4100000000
0000000066819BC8|Ranger|010A00005DB1471EC0CD106600000000D0AC846800000000B0BD606600000000847FEA4100000000
0000000066819BF0|Troll_Poison|010A000045D71C1FC0CD106600000000D8AC846800000000B0BD606600000000BC7FEA4100000000
0000000066819C18|Player_Baranor|010A00004673A621C0CD106600000000E0AC846800000000B0BD6066000000001865E64100000000
0000000066819C40|Spider_Eltariel|010A000003BA5723B0CD106600000000E8AC846800000000B0BD6066000000003880EA4100000000
0000000066819C68|Troll_Fire|010A000013695C25C0CD106600000000F8AC846800000000B0BD606600000000ACF7E64100000000
0000000066819C90|NazgulSisters|010A0000B033A02DC0CD10660000000000AD846800000000B0BD606600000000DC80EA4100000000
0000000066819CB8|FortAssault_GPoutro|010A0000BE8E3C2FC0CD10660000000008AD846800000000B0BD6066000000002081EA4100000000
0000000066819CE0|Ratbag|010A0000CBFF9933B0CD10660000000010AD846800000000B0BD6066000000006881EA4100000000
0000000066819D08|Shelob|010A0000A79B1B35C0CD10660000000020AD846800000000B0BD606600000000DC1AE74100000000
0000000066819D30|Undead_Gondorians|010A0000973A1C38B0CD10660000000028AD846800000000B0BD6066000000000082EA4100000000
0000000066819D58|Warg_Fire|010A0000BDAE6A38C0CD10660000000038AD846800000000B0BD6066000000005082EA4100000000
0000000066819D80|PS_MinasIthil|010A0000CFAF383BC0CD10660000000040AD846800000000B0BD6066000000009082EA4100000000
0000000066819DA8|PS_Rescue|010A00009E12723CB0CD10660000000048AD846800000000B0BD606600000000E41EE24100000000
0000000066819DD0|Ratbags|010A0000D041D53DC0CD10660000000058AD846800000000B0BD6066000000001C83EA4100000000
0000000066819DF8|Ratbag1|010A0000D941D53DC0CD10660000000060AD846800000000B0BD6066000000004420E24100000000
0000000066819E20|Ratbag3|010A0000DB41D53DC0CD10660000000068AD846800000000B0BD60660000000090B1E14100000000
0000000066819E48|Eltariel|010A00005284A440C0CD10660000000070AD846800000000B0BD6066000000008483EA4100000000
0000000066819E70|Playerskin_DarkEltariel|010A0000B0CCB341B0CD10660000000078AD846800000000B0BD606600000000C083EA4100000000
0000000066819E98|Carnun_Fellbeast|010A0000E5053F42C0CD10660000000088AD846800000000B0BD6066000000000CF9DF4100000000
0000000066819EC0|Playerskin_CelebrimborWraith|010A0000D52FE142C0CD10660000000090AD846800000000B0BD6066000000005884EA4100000000
0000000066819EE8|Torvin|010A00008CA8F445C0CD10660000000098AD846800000000B0BD606600000000C084EA4100000000
0000000066819F10|PS_Raid|010A0000ADD7DA4AB0CD106600000000A0AD846800000000B0BD606600000000F484EA4100000000
0000000066819F38|DLC_AI_Talion|010A00009C58494BC0CD106600000000B0AD846800000000B0BD60660000000030FBE64100000000
0000000066819F60|Warg_Poison|010A00008F35CD4EC0CD106600000000B8AD846800000000B0BD6066000000006885EA4100000000
0000000066819F88|Shelob_SpiderForm|010A0000B8EB1351C0CD106600000000C0AD846800000000B0BD606600000000A885EA4100000000
